damping,omega,rmse
0.15000000000000002,2.3,0.10426079071197168
0.15000000000000002,2.32,0.08068244021745895
0.15000000000000002,2.34,0.059591984873873474
0.15000000000000002,2.36,0.04514756109576364
0.15000000000000002,2.38,0.044545753642301594
0.15000000000000002,2.4,0.05811086016501308
0.15000000000000002,2.42,0.07862216724553205
0.15000000000000002,2.44,0.1017041992948244
0.15000000000000002,2.46,0.1256594109019143
0.15000000000000002,2.48,0.14975846866409367
0.15000000000000002,2.5,0.1736108291064443
0.16000000000000003,2.3,0.09831892682159724
0.16000000000000003,2.32,0.07469605843320416
0.16000000000000003,2.34,0.052928562387877284
0.16000000000000003,2.36,0.03708619904975863
0.16000000000000003,2.38,0.03628617845981398
0.16000000000000003,2.4,0.05114835835191627
0.16000000000000003,2.42,0.072408411303212
0.16000000000000003,2.44,0.09563810381605221
0.16000000000000003,2.46,0.11940554766304076
0.16000000000000003,2.48,0.14313410415125888
0.16000000000000003,2.5,0.1665143679677023
0.17,2.3,0.09435820655418754
0.17,2.32,0.07121550909464679
0.17,2.34,0.04963151469059817
0.17,2.36,0.033471641285358185
0.17,2.38,0.032546926192034656
0.17,2.4,0.04768064967399972
0.17,2.42,0.0688125284012005
0.17,2.44,0.09163821515377915
0.17,2.46,0.1148705937253194
0.17,2.48,0.13800171111100124
0.17,2.5,0.16075738495679337
0.18000000000000002,2.3,0.09223299917623837
0.18000000000000002,2.32,0.07009356734200475
0.18000000000000002,2.34,0.04963879632300363
0.18000000000000002,2.36,0.03464291598004306
0.18000000000000002,2.38,0.03374121009710986
0.18000000000000002,2.4,0.04768890524427286
0.18000000000000002,2.42,0.0676948497191678
0.18000000000000002,2.44,0.0895548342715254
0.18000000000000002,2.46,0.1119166971500498
0.18000000000000002,2.48,0.1342373729005341
0.18000000000000002,2.5,0.15622775424788046
0.19,2.3,0.0917330759518916
0.19,2.32,0.07101312796593054
0.19,2.34,0.05237304639954978
0.19,2.36,0.039419706189059024
0.19,2.38,0.03863783019422858
0.19,2.4,0.05056192139667626
0.19,2.42,0.06871973786764278
0.19,2.44,0.0891644090997521
0.19,2.46,0.11037596155250574
0.19,2.48,0.13170528455120878
0.19,2.5,0.15280985589256516
0.2,2.3,0.0926040860223234
0.2,2.32,0.07355185637569027
0.2,2.34,0.05700395377812051
0.2,2.36,0.0461632549603768
0.2,2.38,0.045513912054961435
0.2,2.4,0.055395251646448485
0.2,2.42,0.07142934762630543
0.2,2.44,0.09019312456949398
0.2,2.46,0.11005956122318603
0.2,2.48,0.1302616362113368
0.2,2.5,0.15038624643273593
0.21000000000000002,2.3,0.09457742887169941
0.21000000000000002,2.32,0.07727493744204149
0.21000000000000002,2.34,0.06277980305095585
0.21000000000000002,2.36,0.05375246438407872
0.21000000000000002,2.38,0.053215451642990776
0.21000000000000002,2.4,0.061380632633305454
0.21000000000000002,2.42,0.07535291527887819
0.21000000000000002,2.44,0.0923517917076329
0.21000000000000002,2.46,0.11077080136621002
0.21000000000000002,2.48,0.12976007256039349
0.21000000000000002,2.5,0.14884005277675982
0.22000000000000003,2.3,0.09739781629323681
0.22000000000000003,2.32,0.08180281775036646
0.22000000000000003,2.34,0.06916076193528788
0.22000000000000003,2.36,0.06159204661163652
0.22000000000000003,2.38,0.061144043888749534
0.22000000000000003,2.4,0.06795207339310536
0.22000000000000003,2.42,0.08008473117299172
0.22000000000000003,2.44,0.09536752771162567
0.22000000000000003,2.46,0.11231828966376708
0.22000000000000003,2.48,0.13005751045430608
0.22000000000000003,2.5,0.14805763784548687
0.23,2.3,0.10084120407729728
0.23,2.32,0.08683747468320512
0.23,2.34,0.07580038821991943
0.23,2.36,0.06938643779678011
0.23,2.38,0.06900839038380764
0.23,2.4,0.07475581335148734
0.23,2.42,0.08531177214367479
0.23,2.44,0.09900354625528268
0.23,2.46,0.11452620519523875
0.23,2.48,0.13101922311797806
0.23,2.5,0.1479311038437263
0.24,2.3,0.10472214595043283
0.24,2.32,0.09215977083365193
0.24,2.34,0.08248723314580242
0.24,2.36,0.07699071323380952
0.24,2.38,0.07666815891198596
0.24,2.4,0.0815811294946369
0.24,2.42,0.09080813444407482
0.24,2.44,0.10306644574915896
0.24,2.46,0.11724039881220544
0.24,2.48,0.13252251692592396
0.24,2.5,0.14836031105544026
0.25,2.3,0.10889344408078622
0.25,2.32,0.09761487540587784
0.25,2.34,0.08909531386158322
0.25,2.36,0.08433549441828912
0.25,2.38,0.08405755257151723
0.25,2.4,0.08830532249518708
0.25,2.42,0.09641711477025408
0.25,2.44,0.10740484483650302
0.25,2.46,0.12033060079231699
0.25,2.48,0.13445880651072192
0.25,2.5,0.14925424486167693
