candidate_id,amplitude,frequency,wavelength,stiffness,phase,mean_speed,energy_cost,efficiency,stability_score,vortex_loss,constraint_violation
iter1_cand1,0.16,1.05,1.1,0.45,0.2,0.86121,0.32601,2.51211,0.95061,0.09236,False
iter1_cand2,0.24,1.6,1.1,0.48,0.25,1.2361,0.58363,2.02302,0.94451,0.07404,False
iter1_cand3,0.3,2.1,1.0,0.55,0.25,1.46316,1.1131,1.23721,0.9581,0.12794,False
iter1_cand4,0.18,2.3,1.25,0.5,0.35,1.33283,0.62553,1.9928,0.94794,0.13535,False
iter1_cand5,0.26,1.35,0.85,0.35,0.15,0.95656,0.54228,1.65393,0.95458,0.13497,False
iter1_cand6,0.2,1.45,1.45,0.7,0.3,0.88055,0.47957,1.71424,0.95807,0.14991,False
