candidate_id,amplitude,frequency,wavelength,stiffness,phase,mean_speed,energy_cost,efficiency,stability_score,vortex_loss,constraint_violation
iter1_cand1,0.16,1.05,1.1,0.45,0.2,0.8498,0.32035,2.52182,0.94702,0.0897,False
iter1_cand2,0.24,1.6,1.1,0.48,0.25,1.29119,0.56585,2.18017,0.94337,0.07215,False
iter1_cand3,0.3,2.1,1.0,0.55,0.25,1.5032,1.12847,1.26297,0.95327,0.10317,False
iter1_cand4,0.18,2.3,1.25,0.5,0.35,1.29631,0.64217,1.90545,0.94643,0.10868,False
iter1_cand5,0.26,1.35,0.85,0.35,0.15,0.96811,0.53015,1.70501,0.94245,0.13462,False
iter1_cand6,0.2,1.45,1.45,0.7,0.3,0.8618,0.48832,1.64695,0.94924,0.14261,False
