damping,omega,rmse
0.15000000000000002,2.3,0.10192478843670727
0.15000000000000002,2.32,0.07902646345483284
0.15000000000000002,2.34,0.05911180614258747
0.15000000000000002,2.36,0.046613252464794794
0.15000000000000002,2.38,0.04783816959085669
0.15000000000000002,2.4,0.06183613132995637
0.15000000000000002,2.42,0.0820950045044271
0.15000000000000002,2.44,0.10477817959621143
0.15000000000000002,2.46,0.12831439578500556
0.15000000000000002,2.48,0.15199791987601163
0.15000000000000002,2.5,0.17544221501743743
0.16000000000000003,2.3,0.09575624407296537
0.16000000000000003,2.32,0.07267624678849968
0.16000000000000003,2.34,0.05190821752638001
0.16000000000000003,2.36,0.038005063309657715
0.16000000000000003,2.38,0.03926327552291019
0.16000000000000003,2.4,0.05451801452613984
0.16000000000000003,2.42,0.0755078081649129
0.16000000000000003,2.44,0.09836495238886205
0.16000000000000003,2.46,0.12175124795141827
0.16000000000000003,2.48,0.14510276190869084
0.16000000000000003,2.5,0.16811133846719578
0.17,2.3,0.09160337105087336
0.17,2.32,0.06886979357519489
0.17,2.34,0.04806286744456083
0.17,2.36,0.033598852147187865
0.17,2.38,0.034802105819561106
0.17,2.4,0.05045729679245621
0.17,2.42,0.07142761559789296
0.17,2.44,0.09396476447168435
0.17,2.46,0.11688060251335324
0.17,2.48,0.13968648560675967
0.17,2.5,0.16211382957504467
0.18000000000000002,2.3,0.08933320110823591
0.18000000000000002,2.32,0.06749564681147704
0.18000000000000002,2.34,0.047622332657737326
0.18000000000000002,2.36,0.03395317864573102
0.18000000000000002,2.38,0.03497174663064471
0.18000000000000002,2.4,0.04969681793168151
0.18000000000000002,2.42,0.06974911291802549
0.18000000000000002,2.44,0.09144655585021294
0.18000000000000002,2.46,0.11357522845827328
0.18000000000000002,2.48,0.13563155549578831
0.18000000000000002,2.5,0.15734156963391507
0.19,2.3,0.08874083440702009
0.19,2.32,0.06825329266414322
0.19,2.34,0.0500706896007681
0.19,2.36,0.0381445057146816
0.19,2.38,0.0389273885364482
0.19,2.4,0.05177994799779224
0.19,2.42,0.07019303760055957
0.19,2.44,0.0906114138709067
0.19,2.46,0.1116797014230531
0.19,2.48,0.13280914573294975
0.19,2.5,0.15368312363690065
0.2,2.3,0.0895692039637026
0.2,2.32,0.07071361776795883
0.2,2.34,0.05455953645113094
0.2,2.36,0.04454713274522634
0.2,2.38,0.045129705091840104
0.2,2.4,0.05592823496672121
0.2,2.42,0.07235522048315371
0.2,2.44,0.09120974238184237
0.2,2.46,0.1110174289318959
0.2,2.48,0.1310822209901968
0.2,2.5,0.1510250633621031
0.21000000000000002,2.3,0.09154121883144771
0.21000000000000002,2.32,0.07442122239283605
0.21000000000000002,2.34,0.06028613991889865
0.21000000000000002,2.36,0.05194837728428175
0.21000000000000002,2.38,0.05238501678856566
0.21000000000000002,2.4,0.06137346292257872
0.21000000000000002,2.42,0.07579774129209167
0.21000000000000002,2.44,0.09297073488768103
0.21000000000000002,2.46,0.11140186585314375
0.21000000000000002,2.48,0.1303102783441187
0.21000000000000002,2.5,0.1492540504447606
0.22000000000000003,2.3,0.09439078531067634
0.22000000000000003,2.32,0.0789741452520295
0.22000000000000003,2.34,0.06666791523403927
0.22000000000000003,2.36,0.05968333263778613
0.22000000000000003,2.38,0.06001741574293513
0.22000000000000003,2.4,0.06753576715110231
0.22000000000000003,2.42,0.08012545020353531
0.22000000000000003,2.44,0.09563192767205647
0.22000000000000003,2.46,0.11264864811940467
0.22000000000000003,2.48,0.13035469258492163
0.22000000000000003,2.5,0.1482592802187577
0.23,2.3,0.09788354341369113
0.23,2.32,0.08405660732210021
0.23,2.34,0.0733325056493594
0.23,2.36,0.06741851597380207
0.23,2.38,0.06767994566251351
0.23,2.4,0.07403248751289589
0.23,2.42,0.08502154317240285
0.23,2.44,0.09895986005843507
0.23,2.46,0.11458573090062107
0.23,2.48,0.13108363067962248
0.23,2.5,0.14793487676285286
0.24,2.3,0.10182566648832923
0.24,2.32,0.08943756595142342
0.24,2.34,0.08005471356148533
0.24,2.36,0.0749894054112709
0.24,2.38,0.07519823595371693
0.24,2.4,0.0806262736727304
0.24,2.42,0.09025012966595158
0.24,2.44,0.10275959991196638
0.24,2.46,0.11705999874623119
0.24,2.48,0.13237581941832716
0.24,2.5,0.14818191200527533
0.25,2.3,0.10606383829021403
0.25,2.32,0.09495498790618037
0.25,2.34,0.08670168761696237
0.25,2.36,0.08231623012245219
0.25,2.38,0.08248603382302375
0.25,2.4,0.08717406577762851
0.25,2.42,0.09564329638860149
0.25,2.44,0.10687560510281988
0.25,2.46,0.11994025131088903
0.25,2.48,0.13412287569493045
0.25,2.5,0.14890985555399616
