candidate_id,amplitude,frequency,wavelength,stiffness,phase,mean_speed,energy_cost,efficiency,stability_score,vortex_loss,constraint_violation
iter1_cand1,0.16,1.05,1.1,0.45,0.2,0.86408,0.32222,2.55538,0.95901,0.09491,False
iter1_cand2,0.24,1.6,1.1,0.48,0.25,1.23241,0.5499,2.14387,0.95153,0.07684,False
iter1_cand3,0.3,2.1,1.0,0.55,0.25,1.48613,1.0741,1.30563,0.96055,0.12328,False
iter1_cand4,0.18,2.3,1.25,0.5,0.35,1.31652,0.63629,1.94905,0.94961,0.11741,False
iter1_cand5,0.26,1.35,0.85,0.35,0.15,0.97469,0.53237,1.71773,0.96054,0.139,False
iter1_cand6,0.2,1.45,1.45,0.7,0.3,0.86871,0.4764,1.70831,0.96467,0.14695,False
