candidate_id,amplitude,frequency,wavelength,stiffness,phase,mean_speed,energy_cost,efficiency,stability_score,vortex_loss,constraint_violation
iter1_cand1,0.16,1.05,1.1,0.45,0.2,0.84739,0.32664,2.48443,0.96546,0.08744,False
iter1_cand2,0.24,1.6,1.1,0.48,0.25,1.28708,0.57112,2.14212,0.94236,0.08542,False
iter1_cand3,0.3,2.1,1.0,0.55,0.25,1.47944,1.08569,1.29239,0.95117,0.10024,False
iter1_cand4,0.18,2.3,1.25,0.5,0.35,1.33873,0.61391,2.05139,0.956,0.12736,False
iter1_cand5,0.26,1.35,0.85,0.35,0.15,0.9916,0.53561,1.72568,0.94626,0.14288,False
iter1_cand6,0.2,1.45,1.45,0.7,0.3,0.84228,0.49097,1.60174,0.9685,0.15977,False
