damping,omega,rmse
0.05,2.0,0.5612168289977769
0.05,2.0666666666666664,0.5247585711833627
0.05,2.1333333333333333,0.4708908919333623
0.05,2.2,0.39511801015751774
0.05,2.2666666666666666,0.31268162084959233
0.05,2.333333333333333,0.2594540816322464
0.05,2.4,0.26194421855637107
0.05,2.466666666666667,0.3106482903777684
0.05,2.533333333333333,0.3847438186899669
0.05,2.5999999999999996,0.46284998647300685
0.05,2.6666666666666665,0.5244954654255519
0.05,2.7333333333333334,0.5620746503179405
0.05,2.8,0.5823525061009313
0.07307692307692308,2.0,0.5040951614111803
0.07307692307692308,2.0666666666666664,0.46589205027532377
0.07307692307692308,2.1333333333333333,0.41091868826063205
0.07307692307692308,2.2,0.33641901492974596
0.07307692307692308,2.2666666666666666,0.2540423356730265
0.07307692307692308,2.333333333333333,0.19546776578516936
0.07307692307692308,2.4,0.1964266240104105
0.07307692307692308,2.466666666666667,0.2505756348135562
0.07307692307692308,2.533333333333333,0.32731060443032967
0.07307692307692308,2.5999999999999996,0.40390730301058997
0.07307692307692308,2.6666666666666665,0.4644862286906214
0.07307692307692308,2.7333333333333334,0.5037633762075789
0.07307692307692308,2.8,0.5267341742144823
0.09615384615384615,2.0,0.457447282508565
0.09615384615384615,2.0666666666666664,0.41823977141505786
0.09615384615384615,2.1333333333333333,0.36308000783661154
0.09615384615384615,2.2,0.2901853808081138
0.09615384615384615,2.2666666666666666,0.2080316044427021
0.09615384615384615,2.333333333333333,0.14358008910208334
0.09615384615384615,2.4,0.14323529941819044
0.09615384615384615,2.466666666666667,0.20348189480413764
0.09615384615384615,2.533333333333333,0.2820249857655628
0.09615384615384615,2.5999999999999996,0.35680753280805166
0.09615384615384615,2.6666666666666665,0.4160616045283039
0.09615384615384615,2.7333333333333334,0.45628974571473807
0.09615384615384615,2.8,0.48130217710535794
0.11923076923076922,2.0,0.4192291786091741
0.11923076923076922,2.0666666666666664,0.3796504418430098
0.11923076923076922,2.1333333333333333,0.32510276175398145
0.11923076923076922,2.2,0.25434509958462537
0.11923076923076922,2.2666666666666666,0.17313336565768336
0.11923076923076922,2.333333333333333,0.10246706638727132
0.11923076923076922,2.4,0.10086677996675215
0.11923076923076922,2.466666666666667,0.16780543633691936
0.11923076923076922,2.533333333333333,0.24693462889309736
0.11923076923076922,2.5999999999999996,0.31938226602892394
0.11923076923076922,2.6666666666666665,0.3769685169109784
0.11923076923076922,2.7333333333333334,0.4175068051662238
0.11923076923076922,2.8,0.4439793654418999
0.1423076923076923,2.0,0.3878401321353576
0.1423076923076923,2.0666666666666664,0.34843231990224277
0.1423076923076923,2.1333333333333333,0.2951877434776448
