damping,omega,rmse
0.15000000000000002,2.3,0.1029039827480731
0.15000000000000002,2.32,0.0794035770816076
0.15000000000000002,2.34,0.058548006807782584
0.15000000000000002,2.36,0.04471188828701964
0.15000000000000002,2.38,0.04505237531678018
0.15000000000000002,2.4,0.059199771766706134
0.15000000000000002,2.42,0.07991729009267633
0.15000000000000002,2.44,0.10305049353313833
0.15000000000000002,2.46,0.12699094312676137
0.15000000000000002,2.48,0.15104012275592163
0.15000000000000002,2.5,0.17481986115037013
0.16000000000000003,2.3,0.09691895055505699
0.16000000000000003,2.32,0.07333049876680113
0.16000000000000003,2.34,0.05171976543935616
0.16000000000000003,2.36,0.03642709194162156
0.16000000000000003,2.38,0.03669419891476336
0.16000000000000003,2.4,0.05217308846501095
0.16000000000000003,2.42,0.07362398506046207
0.16000000000000003,2.44,0.09689723606189367
0.16000000000000003,2.46,0.12064908582671878
0.16000000000000003,2.48,0.14433049447225801
0.16000000000000003,2.5,0.16764285058366482
0.17,2.3,0.09293183166295851
0.17,2.32,0.06979240300126989
0.17,2.34,0.048301344393471383
0.17,2.36,0.03259670204470579
0.17,2.38,0.03277190130188455
0.17,2.4,0.04856515354582761
0.17,2.42,0.06990384078593029
0.17,2.44,0.09278453409189778
0.17,2.46,0.11601101422351148
0.17,2.48,0.13910377537108054
0.17,2.5,0.16179991894125262
0.18000000000000002,2.3,0.09079957301251342
0.18000000000000002,2.32,0.06865072349874066
0.18000000000000002,2.34,0.048264427029479966
0.18000000000000002,2.36,0.03365948791984109
0.18000000000000002,2.38,0.03374312199433851
0.18000000000000002,2.4,0.0483700509106664
0.18000000000000002,2.42,0.06862511427769867
0.18000000000000002,2.44,0.09056761920933878
0.18000000000000002,2.46,0.11294199430087881
0.18000000000000002,2.48,0.13523807527705875
0.18000000000000002,2.5,0.15718028883756482
0.19,2.3,0.09031129268548509
0.19,2.32,0.06958658128609231
0.19,2.34,0.05102598350089787
0.19,2.36,0.038436926924338505
0.19,2.38,0.03845704479600917
0.19,2.4,0.05102175510911833
0.19,2.42,0.06947008886922702
0.19,2.44,0.09003117802794541
0.19,2.46,0.11127849160229852
0.19,2.48,0.1326001298190844
0.19,2.5,0.15366991344113823
0.2,2.3,0.09120919950540027
0.2,2.32,0.07216755058763845
0.2,2.34,0.055723084818652666
0.2,2.36,0.04522422844410278
0.2,2.38,0.045210552863435075
0.2,2.4,0.055655602246394834
0.2,2.42,0.07200041921303853
0.2,2.44,0.09091065439049592
0.2,2.46,0.11083651278883572
0.2,2.48,0.13104887634185186
0.2,2.5,0.1511530100021283
0.21000000000000002,2.3,0.09321983917515705
0.21000000000000002,2.32,0.07594656102596825
0.21000000000000002,2.34,0.06157514302097471
0.21000000000000002,2.36,0.05286096200150522
0.21000000000000002,2.38,0.052832210257969525
0.21000000000000002,2.4,0.061478091583885244
0.21000000000000002,2.42,0.07575903122987426
0.21000000000000002,2.44,0.0929248172085495
0.21000000000000002,2.46,0.1114238530497708
0.21000000000000002,2.48,0.1304405904931547
0.21000000000000002,2.5,0.14951431161892342
0.22000000000000003,2.3,0.0960830928648782
0.22000000000000003,2.32,0.08053426101426732
0.22000000000000003,2.34,0.06802741272748138
0.22000000000000003,2.36,0.0607403546290419
0.22000000000000003,2.38,0.06070650486266721
0.22000000000000003,2.4,0.0679214693600358
0.22000000000000003,2.42,0.08034640814496112
0.22000000000000003,2.44,0.09580618103106964
0.22000000000000003,2.46,0.1128526901504549
0.22000000000000003,2.48,0.13063444515811265
0.22000000000000003,2.5,0.1486416119648646
0.23,2.3,0.09957100165770143
0.23,2.32,0.08562656716550412
0.23,2.34,0.0747283583795843
0.23,2.36,0.06856564767648707
0.23,2.38,0.06853175118525581
0.23,2.4,0.07462504227671009
0.23,2.42,0.08545033526033885
0.23,2.44,0.09932072846436353
0.23,2.46,0.11494962133746245
0.23,2.48,0.13149744518643847
0.23,2.5,0.14842818640303937
0.24,2.3,0.10349539517614934
0.24,2.32,0.09100133507364457
0.24,2.34,0.08146601960752231
0.24,2.36,0.0761932823182195
0.24,2.38,0.0761617991121345
0.24,2.4,0.08137123234000873
0.24,2.42,0.09084299291255214
0.24,2.44,0.10327580965661247
0.24,2.46,0.11756182229619717
0.24,2.48,0.13290806651664133
0.24,2.5,0.14877477289224722
0.25,2.3,0.10770742481991206
0.25,2.32,0.09650266239453527
0.25,2.34,0.08811554766055578
0.25,2.36,0.08355551981621628
0.25,2.38,0.08352754750756158
0.25,2.4,0.08803193469262954
0.25,2.42,0.09636483703191388
0.25,2.44,0.1075195323001943
0.25,2.46,0.12055947473610149
0.25,2.48,0.134758378070631
0.25,2.5,0.14959094035820494
