damping,omega,rmse
0.15000000000000002,2.3,0.10485294868684365
0.15000000000000002,2.32,0.08129291773949049
0.15000000000000002,2.34,0.06017362900969005
0.15000000000000002,2.36,0.04553687667945637
0.15000000000000002,2.38,0.04448968820397876
0.15000000000000002,2.4,0.05766194574725546
0.15000000000000002,2.42,0.07794321190607029
0.15000000000000002,2.44,0.1008721977216026
0.15000000000000002,2.46,0.12470423741505586
0.15000000000000002,2.48,0.1486917092616831
0.15000000000000002,2.5,0.17243660027769345
0.16000000000000003,2.3,0.09892045894178812
0.16000000000000003,2.32,0.07530552550316408
0.16000000000000003,2.34,0.053494427804390454
0.16000000000000003,2.36,0.03741151821161675
0.16000000000000003,2.38,0.036047163352858
0.16000000000000003,2.4,0.0505085765467111
0.16000000000000003,2.42,0.07157764831198474
0.16000000000000003,2.44,0.0946842823200111
0.16000000000000003,2.46,0.11834914644464961
0.16000000000000003,2.48,0.14198109977924736
0.16000000000000003,2.5,0.1652656321699773
0.17,2.3,0.09496164349813085
0.17,2.32,0.07180949531176206
0.17,2.34,0.05015243108119291
0.17,2.36,0.0336883270223419
0.17,2.38,0.03211347203715856
0.17,2.4,0.04687270162978242
0.17,2.42,0.06785326396987956
0.17,2.44,0.0905813005191056
0.17,2.46,0.11372799137066754
0.17,2.48,0.13677489555742836
0.17,2.5,0.1594447497578318
0.18000000000000002,2.3,0.09283040766541177
0.18000000000000002,2.32,0.0706577691867005
0.18000000000000002,2.34,0.05008853576483472
0.18000000000000002,2.36,0.03473170675012525
0.18000000000000002,2.38,0.03318361440112576
0.18000000000000002,2.4,0.046776795006718004
0.18000000000000002,2.42,0.06664618312601898
0.18000000000000002,2.44,0.08842060579490064
0.18000000000000002,2.46,0.11070657339822239
0.18000000000000002,2.48,0.13295127839377172
0.18000000000000002,2.5,0.1548631162808648
0.19,2.3,0.09231735295354977
0.19,2.32,0.0715373249605872
0.19,2.34,0.05274176496442158
0.19,2.36,0.039406578662841044
0.19,2.38,0.03804759842965902
0.19,2.4,0.04961900684151233
0.19,2.42,0.06762627972660411
0.19,2.44,0.0879817828885523
0.19,2.46,0.1091188517975281
0.19,2.48,0.13037558974416869
0.19,2.5,0.15140583991632398
0.2,2.3,0.09316994982721886
0.2,2.32,0.07403176747457528
0.2,2.34,0.05729810696715162
0.2,2.36,0.04608608510518538
0.2,2.38,0.04493944948670979
0.2,2.4,0.05447230640052647
0.2,2.42,0.07032995064082273
0.2,2.44,0.08898976431209804
0.2,2.46,0.10877585392961292
0.2,2.48,0.12890412131190615
0.2,2.5,0.14895560012946443
0.21000000000000002,2.3,0.09512180120752181
0.21000000000000002,2.32,0.07771148008355597
0.21000000000000002,2.34,0.06301330214252679
0.21000000000000002,2.36,0.0536390886549308
0.21000000000000002,2.38,0.052672322784498495
0.21000000000000002,2.4,0.06050202660797675
0.21000000000000002,2.42,0.07427506231531954
0.21000000000000002,2.44,0.0911509363138574
0.21000000000000002,2.46,0.1094790505166434
0.21000000000000002,2.48,0.12838967258953143
0.21000000000000002,2.5,0.14739507831514637
0.22000000000000003,2.3,0.09791964183541817
0.22000000000000003,2.32,0.08220012735182491
0.22000000000000003,2.34,0.06934804295607981
0.22000000000000003,2.36,0.06145971396401274
0.22000000000000003,2.38,0.060634949677602336
0.22000000000000003,2.4,0.06712576461428581
0.22000000000000003,2.42,0.07904483595876644
0.22000000000000003,2.44,0.09418670676097707
0.22000000000000003,2.46,0.11103416020343423
0.22000000000000003,2.48,0.12868760774284024
0.22000000000000003,2.5,0.146609726287784
0.23,2.3,0.10134096275338936
0.23,2.32,0.08720105873659871
0.23,2.34,0.07595366334797236
0.23,2.36,0.06924564932811633
0.23,2.38,0.06853213258439063
0.23,2.4,0.07398208962518235
0.23,2.42,0.08431811392426014
0.23,2.44,0.09785481240501318
0.23,2.46,0.11326208834541765
0.23,2.48,0.12966123656805345
0.23,2.5,0.14649041019790135
0.24,2.3,0.10520130881971691
0.24,2.32,0.09249531471228023
0.24,2.34,0.08261607251121951
0.24,2.36,0.0768480454892686
0.24,2.38,0.07622265846572295
0.24,2.4,0.08085733472457302
0.24,2.42,0.08986388365263283
0.24,2.44,0.10195737528679959
0.24,2.46,0.11600553786825148
0.24,2.48,0.13118576808532875
0.24,2.5,0.1469355770302713
0.25,2.3,0.10935401630085677
0.25,2.32,0.09792763880151242
0.25,2.34,0.08920702223479263
0.25,2.36,0.08419522446944233
0.25,2.38,0.08364075854170178
0.25,2.4,0.08762797551703021
0.25,2.42,0.09552254637102531
0.25,2.44,0.10633970626078254
0.25,2.46,0.11913150784206411
0.25,2.48,0.13315059582896255
0.25,2.5,0.1478527521961424
