damping,omega,rmse
0.05,2.0,0.5621160033322574
0.05,2.1,0.5028657580654898
0.05,2.2,0.39697084049149817
0.05,2.3,0.27869908328502524
0.05,2.4,0.2576342883999246
0.05,2.5,0.3434095755041552
0.05,2.5999999999999996,0.46377377419707083
0.05,2.6999999999999997,0.549459244027158
0.05,2.8,0.5870411663276803
0.1,2.0,0.4513457314786873
0.1,2.1,0.3878776827037341
0.1,2.2,0.28539040127231685
0.1,2.3,0.1632072653849335
0.1,2.4,0.13132354847785407
0.1,2.5,0.23443422671486844
0.1,2.5999999999999996,0.3515765007531018
0.1,2.6999999999999997,0.43499555578171856
0.1,2.8,0.479375751921143
0.15,2.0,0.37948720394539376
0.15,2.1,0.3166683450152196
0.15,2.2,0.22183143918229967
0.15,2.3,0.10249876023809464
0.15,2.4,0.059104992283272935
0.15,2.5,0.17573193621676267
0.15,2.5999999999999996,0.28399083546258036
0.15,2.6999999999999997,0.36211834692302725
0.15,2.8,0.40894842773128925
0.2,2.0,0.3325368547956377
0.2,2.1,0.27370160570285385
0.2,2.2,0.19082116252457096
0.2,2.3,0.09175318376211919
0.2,2.4,0.05768367179165266
0.2,2.5,0.15293517251082964
0.2,2.5999999999999996,0.24546801483535904
0.2,2.6999999999999997,0.3156736483211756
0.2,2.8,0.36183132887824115
0.25,2.0,0.3019833472948953
0.25,2.1,0.2491243816419807
0.25,2.2,0.18042320062673328
0.25,2.3,0.10894168009244067
0.25,2.4,0.09040029417059613
0.25,2.5,0.15194303624622627
0.25,2.5999999999999996,0.22565549443550798
0.25,2.6999999999999997,0.2864525795983324
0.25,2.8,0.3298716693500883
0.3,2.0,0.2824364287283134
0.3,2.1,0.23636320420445522
0.3,2.2,0.18137037025522484
0.3,2.3,0.131564865714222
0.3,2.4,0.12080924530251208
0.3,2.5,0.16084519864016394
0.3,2.5999999999999996,0.21738608341272195
0.3,2.6999999999999997,0.26860472684141623
0.3,2.8,0.3081174325925707
0.35,2.0,0.2703437365063872
0.35,2.1,0.23098279185460266
0.35,2.2,0.18764128606296532
0.35,2.3,0.15247239465870005
0.35,2.4,0.14567410932094083
0.35,2.5,0.17289452150694573
0.35,2.5999999999999996,0.21584974798461906
0.35,2.6999999999999997,0.2582779171412998
0.35,2.8,0.29341392732083865
