candidate_id,amplitude,frequency,wavelength,stiffness,phase,mean_speed,energy_cost,efficiency,stability_score,vortex_loss,constraint_violation
iter3_cand1,0.16,1.11,1.16,0.42,0.2444,0.89552,0.31414,2.72927,0.96716,0.08985,False
iter3_cand2,0.18,1.21,1.12,0.44,0.2444,0.96951,0.3557,2.602,0.94926,0.08029,False
iter3_cand3,0.14,1.01,1.2,0.46,0.2244,0.82065,0.30513,2.54931,0.95039,0.1011,False
iter3_cand4,0.16,1.17,1.24,0.39,0.2744,0.8884,0.3322,2.52843,0.94422,0.10205,False
