damping,omega,rmse
0.05,2.0,0.5635391982866649
0.05,2.1,0.5039451657843287
0.05,2.2,0.3985173496346642
0.05,2.3,0.2808932853282441
0.05,2.4,0.2586261936695963
0.05,2.5,0.3420982383513687
0.05,2.5999999999999996,0.46095707744726794
0.05,2.6999999999999997,0.54561957328721
0.05,2.8,0.5823847771331038
0.1,2.0,0.4532349966373028
0.1,2.1,0.3893814627325388
0.1,2.2,0.28718099177631523
0.1,2.3,0.16562654353673587
0.1,2.4,0.13173737799275254
0.1,2.5,0.23218070477269293
0.1,2.5999999999999996,0.34809387723766605
0.1,2.6999999999999997,0.4306603453351906
0.1,2.8,0.47437128402330475
0.15,2.0,0.38167280748298116
0.15,2.1,0.3184665403179779
0.15,2.2,0.22372947535391105
0.15,2.3,0.10485294868684367
0.15,2.4,0.057661945747255486
0.15,2.5,0.17243660027769345
0.15,2.5999999999999996,0.2799329375275828
0.15,2.6999999999999997,0.3574267668235282
0.15,2.8,0.40375430601082507
0.2,2.0,0.33483937457922236
0.2,2.1,0.2756177639275858
0.2,2.2,0.19260304173312678
0.2,2.3,0.09316994982721886
0.2,2.4,0.05447230640052647
0.2,2.5,0.14895560012946443
0.2,2.5999999999999996,0.24103962573015225
0.2,2.6999999999999997,0.31078863928553196
0.2,2.8,0.3565856647551192
0.25,2.0,0.30424447552695244
0.25,2.1,0.25098406103768006
0.25,2.2,0.1818982368497947
0.25,2.3,0.10935401630085677
0.25,2.4,0.08762797551703021
0.25,2.5,0.1478527521961424
0.25,2.5999999999999996,0.22110551257820218
0.25,2.6999999999999997,0.2815316816865832
0.25,2.8,0.32468371789938477
0.3,2.0,0.28453725257376944
0.3,2.1,0.23803550590374417
0.3,2.2,0.18246454465446818
0.3,2.3,0.13139457323682152
0.3,2.4,0.11835388215262956
0.3,2.5,0.15697011866879843
0.3,2.5999999999999996,0.21291892421387176
0.3,2.6999999999999997,0.2637758552878403
0.3,2.8,0.30306652723043387
0.35,2.0,0.2722092879404645
0.35,2.1,0.23239440823539376
0.35,2.2,0.18836916946676793
0.35,2.3,0.1519691917712202
0.35,2.4,0.14341248101481446
0.35,2.5,0.16931658009696504
0.35,2.5999999999999996,0.2115865309314238
0.35,2.6999999999999997,0.25362808363015427
0.35,2.8,0.2885521298400961
