damping,omega,rmse
0.05,2.0,0.5612168289977769
0.05,2.1,0.5005601240479903
0.05,2.2,0.39511801015751774
0.05,2.3,0.27998576354296645
0.05,2.4,0.26194421855637107
0.05,2.5,0.3457757256864206
0.05,2.5999999999999996,0.46284998647300685
0.05,2.6999999999999997,0.5460936337950095
0.05,2.8,0.5823525061009313
0.1,2.0,0.45054030040481907
0.1,2.1,0.3858840169460411
0.1,2.2,0.28353942703578633
0.1,2.3,0.16394485860038086
0.1,2.4,0.1354439784420333
0.1,2.5,0.2357056657652603
0.1,2.5999999999999996,0.34994954057837685
0.1,2.6999999999999997,0.4313292195105869
0.1,2.8,0.47456716056560494
0.15,2.0,0.3786687667965435
0.15,2.1,0.3148745768765427
0.15,2.2,0.21988031650953127
0.15,2.3,0.1019247884367073
0.15,2.4,0.06183613132995639
0.15,2.5,0.17544221501743745
0.15,2.5999999999999996,0.2815957775821932
0.15,2.6999999999999997,0.3581749555431057
0.15,2.8,0.4041034228019216
0.2,2.0,0.331606362710216
0.2,2.1,0.27197825282795524
0.2,2.2,0.18870630591863619
0.2,2.3,0.0895692039637026
0.2,2.4,0.05592823496672121
0.2,2.5,0.1510250633621031
0.2,2.5999999999999996,0.24237390161404196
0.2,2.6999999999999997,0.3115088462042742
0.2,2.8,0.3570091680476741
0.25,2.0,0.300867735627408
0.25,2.1,0.24735922220930592
0.25,2.2,0.178138520872114
0.25,2.3,0.10606383829021403
0.25,2.4,0.08717406577762851
0.25,2.5,0.14890985555399616
0.25,2.5999999999999996,0.22203729461787383
0.25,2.6999999999999997,0.28214018373376076
0.25,2.8,0.3251104829007319
0.3,2.0,0.2810952217361269
0.3,2.1,0.23448162267406072
0.3,2.2,0.1789366387720084
0.3,2.3,0.12848540564536534
0.3,2.4,0.11727010738063108
0.3,2.5,0.1572422282778826
0.3,2.5999999999999996,0.21344508060198994
0.3,2.6999999999999997,0.26421901450358115
0.3,2.8,0.303439435644688
0.35,2.0,0.26876572885293015
0.35,2.1,0.22894882817640366
0.35,2.2,0.1850799413689345
0.35,2.3,0.14931730691254533
0.35,2.4,0.14205178571540797
0.35,2.5,0.16905414711280223
0.35,2.5999999999999996,0.21174968694668922
0.35,2.6999999999999997,0.25388013580249075
0.35,2.8,0.2888299217752059
