damping,omega,rmse
0.05,2.0,0.5633079777040515
0.05,2.1,0.5039472363864401
0.05,2.2,0.3983897110776305
0.05,2.3,0.28047666461832876
0.05,2.4,0.25823145814900983
0.05,2.5,0.342342606805448
0.05,2.5999999999999996,0.46207402781504
0.05,2.6999999999999997,0.547668879458242
0.05,2.8,0.5851246143033005
0.1,2.0,0.4526133066718295
0.1,2.1,0.3891005157130649
0.1,2.2,0.2868931559326408
0.1,2.3,0.16513144150166972
0.1,2.4,0.13157120773609143
0.1,2.5,0.2328896360100085
0.1,2.5999999999999996,0.34956033281598975
0.1,2.6999999999999997,0.4328515179754625
0.1,2.8,0.47703258058127884
0.15,2.0,0.3807115096866195
0.15,2.1,0.3178900990680222
0.15,2.2,0.22324139182718833
0.15,2.3,0.10426079071197171
0.15,2.4,0.05811086016501311
0.15,2.5,0.17361082910644432
0.15,2.5999999999999996,0.28164810837033183
0.15,2.6999999999999997,0.35965726156037436
0.15,2.8,0.4062743369624162
0.2,2.0,0.3336192914566036
0.2,2.1,0.27478285794687235
0.2,2.2,0.19193069261021786
0.2,2.3,0.0926040860223234
0.2,2.4,0.055395251646448485
0.2,2.5,0.15038624643273593
0.2,2.5999999999999996,0.24285579033644497
0.2,2.6999999999999997,0.31296133240556867
0.2,2.8,0.35892326977447325
0.25,2.0,0.30285603026602903
0.25,2.1,0.24996170354530506
0.25,2.2,0.1811065497017114
0.25,2.3,0.10889344408078622
0.25,2.4,0.08830532249518708
0.25,2.5,0.14925424486167693
0.25,2.5999999999999996,0.2228743346567339
0.25,2.6999999999999997,0.28356869263458084
0.25,2.8,0.3268158623018525
0.3,2.0,0.2830635676757263
0.3,2.1,0.2369048517206768
0.3,2.2,0.1816219279665938
0.3,2.3,0.13099518552755685
0.3,2.4,0.11884392189148356
0.3,2.5,0.15819065307301503
0.3,2.5999999999999996,0.21453558221204688
0.3,2.6999999999999997,0.26562608161533147
0.3,2.8,0.30498395687983704
0.35,2.0,0.2707162847831489
0.35,2.1,0.23122216881132188
0.35,2.2,0.18752047558378668
0.35,2.3,0.15159252920551589
0.35,2.4,0.14376225245795612
0.35,2.5,0.17032391647470418
0.35,2.5999999999999996,0.2130005479502632
0.35,2.6999999999999997,0.25526686906415164
0.35,2.8,0.2902555745882365
