candidate_id,amplitude,frequency,wavelength,stiffness,phase,mean_speed,energy_cost,efficiency,stability_score,vortex_loss,constraint_violation
iter1_cand1,0.14,0.85,1.2,0.45,0.2,0.72736,0.30873,2.24881,0.96147,0.0927,False
iter1_cand2,0.16,1.05,1.3,0.5,0.25,0.82259,0.33475,2.30581,0.94947,0.12792,False
iter1_cand3,0.18,1.15,1.1,0.42,0.2,0.91862,0.36217,2.44969,0.97262,0.07102,False
iter1_cand4,0.12,1.25,1.45,0.55,0.3,0.69256,0.32214,1.99192,0.94557,0.15846,False
iter1_cand5,0.2,0.95,1.0,0.48,0.18,0.85318,0.3531,2.28184,0.95908,0.11976,False
iter1_cand6,0.15,1.35,1.25,0.6,0.25,0.91355,0.38824,2.20337,0.93333,0.11779,False
